Subject,Style,Trial,Jump Height (Impulse),sqrt JH,Jump Height (Flight),Bodyweight,GRF Impulse (Normalized),Net Impulse (Normalized),Concentric GRF Impulse (Normalized),Concentric Net Impulse (Normalized),GRF_Max (Normalized),Net F_Max (Normalized),GRF at Bottom (Normalized),Average Power (Normalized),Peak Power (Normalized),Depth,Contact Time,RSI (Impulse),RSI (Flight)
5,SF,3,0.238061381,0.487915342,0.251551605,61.51726015,10.00291713,5.030945575,4.776445006,2.167876106,27.20521031,17.39856031,24.4459847,0.022381758,0.040412024,0.399505095,0.507,0.469549075,0.496157012
5,SF,4,0.207915019,0.455976994,0.246029235,61.43816947,9.331912962,4.889500512,4.189202531,2.021932881,42.82549469,33.01884469,22.4284026,0.021892837,0.040420277,0.347115497,0.453,0.458973551,0.543110894
5,SF,5,0.24490831,0.494882117,0.273095589,61.43418207,9.955317616,5.061799266,4.747923797,2.198194797,37.45764853,27.65099853,24.67339759,0.023654366,0.040782086,0.369384562,0.499,0.490798216,0.54728575
5,SS,1,0.285448037,0.534273373,0.293121994,61.55537246,10.31609565,5.236250949,5.173239837,2.378344587,33.10369052,23.29704052,23.56788599,0.024081655,0.044729101,0.366032369,0.518,0.551057987,0.565872576
5,SS,2,0.253039381,0.503030199,0.266196611,61.31697907,10.34444235,5.097884598,4.992910848,2.237242198,31.90029955,22.09364955,22.34275107,0.022302866,0.042638875,0.384327795,0.535,0.472970806,0.497563759
5,SS,3,0.221552051,0.47069316,0.258259354,61.49234655,9.652059213,4.954673863,4.391019617,2.086456867,29.55863782,19.75198782,23.31070581,0.022210744,0.039743064,0.362472598,0.479,0.462530379,0.539163577
5,SS,4,0.202604402,0.450115987,0.230892671,61.41216162,10.00222853,4.863543929,4.642465067,1.994669567,34.54185529,24.73520529,21.93734864,0.020462722,0.039406889,0.372299493,0.524,0.386649622,0.440634868
5,SS,5,0.215492286,0.464211467,0.244932116,61.30947518,10.13329959,4.925968445,4.822898241,2.067229591,31.19305775,21.38640775,22.61917911,0.02126427,0.038959619,0.371526443,0.531,0.405823513,0.461265756
5,ST,1,0.11820879,0.343815052,0.161526558,61.65447465,7.305345031,4.392769981,2.979889636,1.528505436,47.88849498,38.08184498,30.97893561,0.019119526,0.033026241,0.226380341,0.297,0.398009393,0.543860465
5,ST,2,0.104933759,0.323934807,0.154485383,61.54352546,7.178074975,4.304726525,2.847486778,1.445135828,41.38193223,31.57528223,32.97454907,0.018508881,0.032315972,0.246527023,0.293,0.358135695,0.527253868
5,ST,3,0.098315578,0.31355315,0.136748831,61.46476001,7.112484535,4.258749385,2.853590252,1.402206052,46.45523711,36.64858711,31.24538353,0.017694777,0.030727558,0.222150764,0.291,0.337854221,0.469927254
5,ST,4,0.087677358,0.296103627,0.145904565,61.61471249,6.535066849,4.181470849,2.402940775,1.314402625,52.3160763,42.5094263,37.23104283,0.018042184,0.030667393,0.22160462,0.24,0.365322327,0.607935686
5,ST,5,0.112537694,0.335466383,0.153616269,61.74652691,7.003591808,4.355796308,2.76578641,1.50072856,50.83638153,41.02973153,33.27539382,0.019591663,0.033549981,0.217003346,0.27,0.416806273,0.568949144
6,SF,1,0.315935008,0.562080962,0.336583841,67.78741722,9.321288757,5.359402157,4.466160423,2.495023773,33.40324935,23.59659935,30.47158432,0.031766248,0.052967753,0.369375464,0.404,0.782017347,0.83312832
6,SF,2,0.285926973,0.534721398,0.326384925,67.84165528,9.053021959,5.238235109,4.190133611,2.375903361,37.12335717,27.31670717,30.73244589,0.030667395,0.050997278,0.364710966,0.389,0.735030778,0.839035798
