Style,X,Y,Slope,Intercept,R,P,STD
SF,Average_Power_(Normalized),RSI_(Impulse),0.03570010142480819,-0.35396657797604314,0.971286014432743,1.9735990600075374e-75,0.0008050129563084292
SF,Peak_Power_(Normalized),RSI_(Impulse),0.02116697060207472,-0.4124891642927244,0.884999683503694,5.517577969416881e-41,0.001025131895556018
SF,Time_GRF_Ecc_Max,Time_GRF_Max,1.0009204453527583,-6.014993010428071e-05,0.9999936367969318,1.1031665673834709e-290,0.00032871045598457704
SF,Time_GRF_Con_Max,Time_GRF_Max,0.046068306090596006,0.09781333788762284,0.0521188587956362,0.5718411518682811,0.08125978825667345
SS,Depth,Jump_Height_(Impulse),0.05872880220975945,0.2893645464045527,0.06575798968681588,0.4754895462424612,0.0820390469938803
SS,Contact_Time,Jump_Height_(Impulse),0.03821785816244169,0.29363097982442493,0.044794977392879666,0.6271003205132509,0.07846208699979153
SS,GRF_Max_(Normalized),Jump_Height_(Impulse),-0.00029174087271690327,0.3214902465999167,-0.02627116620338923,0.7757796477096047,0.0010219437712580416
SS,GRF_at_Bottom_(Normalized),Jump_Height_(Impulse),0.005481387993852612,0.1568543419778714,0.3358129804141835,0.00017709172992407706,0.0014153703153474576
SS,Average_Power_(Normalized),Jump_Height_(Impulse),0.012165563296792315,-0.04248048524061193,0.8139657537075533,1.3114303510229836e-29,0.0007992747206197972
SS,Peak_Power_(Normalized),Jump_Height_(Impulse),0.008232318785687117,-0.10207065953093464,0.7945090436151414,2.5145142400004377e-27,0.0005792306217287521
SS,GRF_Max_(Normalized),Average_Power_(Normalized),0.20458710655860057,21.62981912812218,0.2753508516551997,0.0023360129920193084,0.06575511835696841
SS,GRF_at_Bottom_(Normalized),Average_Power_(Normalized),0.7323147820019876,8.46649302834054,0.6705494725756492,5.4031539833420094e-17,0.07458487154064947
SS,Depth,Average_Power_(Normalized),-23.289703679725847,37.593136765919496,-0.3897511784182048,1.0819137675598487e-05,5.065910613632824
SS,Contact_Time,Average_Power_(Normalized),-29.088628575125227,42.2009484157692,-0.5095799283308456,2.7805269354255573e-09,4.521495509430077
