,,GRF_1h_(Normalized),GRF_1h_(Normalized),GRF_1l_(Normalized),GRF_1l_(Normalized),GRF_2h_(Normalized),GRF_2h_(Normalized),GRF_2l_(Normalized),GRF_2l_(Normalized),GRF_(Normalized),GRF_(Normalized),GRF_diff_(Normalized),GRF_diff_(Normalized),Impulse_1h_(Normalized),Impulse_1h_(Normalized),Impulse_1l_(Normalized),Impulse_1l_(Normalized),Velocity,Velocity
,,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI
Style,Time,,,,,,,,,,,,,,,,,,
SF,45.0,1018.992076923077,93.00541291782159,967.0489230769231,90.9265262002027,14.618106344294198,1.0012245511601985,10.564659163019801,0.8179151469256007,25.182765507314,1.6871552519753317,4.7406937446304065,0.6087668862450624,441.39024145347764,13.265329566045962,404.9168134044794,12.791907605000096,-2.5264722306462777,0.04855811427444121
SF,46.0,1044.595,94.72376576490382,989.9338461538462,92.17767394948451,15.056865444090747,1.0391061786751181,10.789026876083637,0.8362260664292819,25.845892320174382,1.737287480296954,4.927575870484536,0.6431229657229833,442.42203499193926,13.319204714253907,405.89530478909484,12.848108872255267,-2.5107645517325334,0.049133262155506216
SF,47.0,1069.667,96.06464495887589,1027.4813076923078,98.33444204059812,15.48874383523461,1.0775023364530936,11.162980710133038,0.8926927199439143,26.65172454536765,1.834259158817807,5.009734403347302,0.6468603170266956,443.4791659919392,13.373027293707883,406.9040123660179,12.905676467368878,-2.4943223932997625,0.04976916834259073
SF,48.0,1093.2586923076924,97.19481170937537,1049.562,98.29216511065778,15.876977176608689,1.106454571872821,11.430071559104668,0.90979242392378,27.307048735713355,1.8725833581853115,5.1667422676077885,0.6733023289755405,444.56062883809307,13.426243836751626,407.942534019864,12.964256256771154,-2.477149656659222,0.05047042139729782
SF,49.0,1115.9274615384616,97.86892894280827,1069.3532307692308,97.42637142456735,16.22463094097101,1.121368110175523,11.688520305216905,0.923951330533942,27.91315124618792,1.8962238880076023,5.2844782798603225,0.6882477459809865,445.6652219150161,13.478774219666732,409.00199163524866,13.021280854083045,-2.4593462066682714,0.051228588424363536
SF,50.0,1136.3848461538462,97.97509050974111,1087.4708461538462,96.40842079550666,16.546958155445093,1.129860429153822,11.917081875076244,0.9325707019356094,28.464040030521335,1.9064622198045562,5.390063068092031,0.7066984123623816,446.7913780688623,13.530838143626951,410.0804036737102,13.076695106119868,-2.440964261029917,0.05203466796252412
SF,51.0,1139.4354615384614,91.85846276247061,1105.7404615384617,95.26079513661709,16.70797805348476,1.0987362037366852,12.13594411866626,0.9417494233882382,28.843922172151018,1.8707763656965966,5.371550732741695,0.7231642514064763,447.9292882227084,13.580932754780896,411.1770093275564,13.130162334572017,-2.4221169299285803,0.05287084362563648
SF,52.0,1154.5275384615384,90.77679247525224,1123.0314615384616,94.36296905956429,16.980643079989093,1.0969369070101553,12.350205674805112,0.9537777293366348,29.3308487547942,1.871011513799846,5.406538082136246,0.7504149971370399,449.07626972270845,13.628752752616736,412.2913952890948,13.181291383380602,-2.402836194465108,0.05372989883335858
SF,53.0,1170.0274615384617,89.7387186355355,1137.8103846153847,93.35362174845899,17.243042542003163,1.0934090413751663,12.542348526932011,0.9587857575820777,29.78539106893517,1.8629369777432339,5.461874480093272,0.7733702122407823,450.23854722270846,13.675516567271002,413.42181621217173,13.23002955324048,-2.3830847245532434,0.05461804054671493
SF,54.0,1187.040230769231,88.68065998242344,1150.663076923077,92.07208588275239,17.49516260272456,1.08862687297355,12.740552718176431,0.9605205544559021,30.235715320900994,1.8522340112283975,5.493913241756254,0.7918073337928251,451.4170810688623,13.720985044922871,414.566052942941,13.27646891403098,-2.3628808213583254,0.05553161467292927
SF,55.0,1203.340153846154,87.53071685335489,1163.3778461538461,90.4385142866153,17.735512498074183,1.0809278294075018,12.94095799948654,0.9599445561068018,30.67647049756072,1.8377192842703052,5.508676839670864,0.8058883012078507,452.61227126117,13.764993615431376,415.72307340447946,13.320537481622356,-2.3422313784490942,0.056463781960222635
SF,56.0,1217.4957692307694,86.25536923222003,1174.7172307692308,88.9381808791421,17.924051041441324,1.0701926921756921,13.141998247097264,0.9622867650572806,31.06604928853859,1.824528131705071,5.522493460474821,0.8092718431441382,453.82268922270845,13.807509704616113,416.89212094294095,13.362397926638764,-2.3211667685560444,0.057407892688264156
SF,57.0,1229.0366923076922,84.66139178400117,1183.0686153846154,87.14551654839597,18.057414339760573,1.0585092066614872,13.327086382092102,0.9592507299363993,31.384500721852675,1.806069808651806,5.528312980992558,0.8055732308066432,455.04595545347763,13.848313652252298,418.0710138660179,13.402301197551317,-2.2997481435508487,0.05836032554505905
SF,58.0,1240.827076923077,83.15530272432679,1189.0926923076922,85.27982883611851,18.160514287337442,1.0454918792234826,13.514575099707143,0.9602445254334576,31.675089387044583,1.7906709217679389,5.4894234824383235,0.803630627844441,456.28088733809307,13.887059284084595,419.25709451986404,13.440293262340072,-2.2780249984964005,0.05932028374244332
SF,59.0,1252.6265384615385,81.65662319791834,1194.1133846153846,83.35078012453928,18.264441008777197,1.0333515568199696,13.685015005796377,0.9587354844702594,31.94945601457357,1.7738515344274899,5.437440677564048,0.8053315861286009,457.5276141457853,13.923615679575613,420.4486975583256,13.476337667250862,-2.256019375795591,0.06028765114223658
SF,60.0,1276.6746153846154,86.14717121582483,1207.7156923076923,83.28423799465936,18.595925684694144,1.0657660689444175,13.846745467984142,0.9554672632143197,32.44267115267828,1.791831146111479,5.60311389228255,0.8383976426751839,458.7922647227084,13.959471365966593,421.64961209678717,13.510513228086143,-2.2336299622119653,0.06126626913165662
SF,61.0,1283.9384615384615,84.39222582351096,1227.3233846153846,89.53232116254577,18.83635556247217,1.1384341402680804,14.00055085725769,0.9520640773186501,32.836906419729864,1.8222024912190427,5.665076865374272,0.9504015175136392,460.07257126116997,13.994543240005136,422.86713163524865,13.543199809509682,-2.210796823425761,0.06224420797185284
SF,62.0,1287.2125384615385,82.45690302300567,1223.008,81.95386135998348,18.756640372261934,1.060797260878468,14.120472227705003,0.9431915822693335,32.877112599966935,1.7580392883195404,5.429421232470945,0.8791624402628646,461.35814676116996,14.027197963666037,424.09229732755637,13.574532415763864,-2.187746463915913,0.06320840628884408
SF,63.0,1288.7033076923076,80.62130640036438,1216.8674615384614,76.60790329500699,18.65247236359257,1.0152393806176347,14.213545705890212,0.9309169311198029,32.86601806948278,1.712773788597859,5.216090692141259,0.839570161700905,462.6461046842469,14.057445979045365,425.3122350583256,13.60429626865168,-2.164681548581188,0.06416123429212671
SF,64.0,1289.1545384615383,78.89656244303882,1217.784,75.1003334823987,18.62845905554203,1.0079975086475588,14.291227300819381,0.9166765361810623,32.91968635636141,1.688319844673255,5.117510861086518,0.8418726619596992,463.9350336073239,14.08548237076699,426.52956078909483,13.632590660168152,-2.1415953463682658,0.06510108691543817
SF,65.0,1290.638,77.34004375749991,1222.455076923077,74.11031098559961,18.667662210450015,1.0026997625011544,14.356444511773548,0.899481401524989,33.024106722223564,1.6591651282548971,5.109411898254955,0.8483063005880344,465.2249298765546,14.111663180119631,427.74968032755635,13.65965026352433,-2.1184300998289736,0.06602210270189346
SF,66.0,1292.3336923076924,75.88444596482495,1225.4359230769232,73.17198705733809,18.686467909772006,0.9971405114326861,14.41812076363882,0.8828174171786829,33.104588673410824,1.6298169713536959,5.085128569376725,0.8555763076556545,466.5164157227084,14.13630448789155,428.97362582755636,13.685494255051667,-2.095172402131156,0.0669160561601898
SF,67.0,1292.148153846154,74.5283836272456,1225.839846153846,72.31048508949912,18.670848354715794,0.9923489472560479,14.454585756670287,0.8677158010499514,33.125434111386085,1.60357673294405,5.06168866832142,0.8606226396995336,467.80865664578533,14.159449253506475,430.1992637121717,13.71014030643232,-2.071864040738758,0.06777906075427947
SF,68.0,1292.0383846153845,73.43514772751557,1224.912923076923,71.58873483753828,18.607303887751154,0.9891687920050294,14.522669421437238,0.8601941547692509,33.129973309188394,1.5875690483580327,5.039568719911234,0.8573611496464241,469.10074991501614,14.180722176141117,431.42464009678713,13.733686241559054,-2.0485429870284704,0.06861322698759735
SF,69.0,1287.195846153846,76.62226251096975,1224.5286153846155,70.87213262892853,18.34707458017119,0.973824880674044,14.73579141523933,0.9378948012050905,33.08286599541052,1.6314936652661491,4.998250763916282,0.8635241463124037,470.39036703040074,14.198714893358742,432.6493608660179,13.756226845350204,-2.0252432173761714,0.06943026574097132
SF,70.0,1289.4865384615384,75.82984117404725,1221.8246923076922,70.35829967411703,18.380928002797347,0.9733495493270062,14.682924418775862,0.9063848738829969,33.06385242157321,1.5857106824009513,5.082706127100408,0.8777030742453855,471.6787082227084,14.214934246595108,433.87253751986407,13.7779235784623,-2.0019765081676795,0.07022607170353705
SF,71.0,1266.771230769231,70.19177800447453,1224.364923076923,70.85249981053813,18.320810420620933,0.9679949215501541,14.482971684269854,0.8316092489857022,32.80378210489079,1.546107489114655,4.9076225830478615,0.8197664963212825,472.9568371073238,14.231350830666035,435.09563232755636,13.798920721557758,-1.9788493409044472,0.07099489634742061
SF,72.0,1253.8913076923077,69.17736527814512,1225.7026153846155,72.09177942906196,18.259178396472237,0.9692988777158867,14.390767975860998,0.8246656831973573,32.64994637233323,1.5327759457057515,5.002907410316628,0.8248422637246784,474.2171683765546,14.247227229956719,436.3206660967871,13.819181187454069,-1.9559291266658352,0.07174511605314275
SF,73.0,1246.6002307692308,68.08901773171687,1221.8982307692306,70.02792403858933,18.100314852423207,0.9430245040568146,14.392511793757237,0.8128189426994523,32.49282664618045,1.5099825160053248,4.874835603218121,0.7819438801127582,475.46741414578537,14.262437686341622,437.54446651986405,13.838606612811063,-1.9331643901565785,0.07247493339452481
SF,74.0,1236.3329230769232,67.12625923934473,1214.5016153846154,68.15420996333275,17.909238785944353,0.9215604427801731,14.341830227793873,0.7973526329762529,32.251069013738224,1.4870056822215614,4.723620029037022,0.7479287639357798,476.70888072270844,14.276910257633027,438.76266644294094,13.857195234314142,-1.910599092326619,0.07318135249511501
SF,75.0,1225.5345384615384,66.31079356912852,1204.5127692307692,67.22440756008831,17.744661273906377,0.9130967075717789,14.235157772103822,0.7816367354691548,31.9798190460102,1.4776924346291216,4.603032718650667,0.7219418020357623,477.93981445347765,14.290472940230792,439.9721736352487,13.874886409270497,-1.8882902982967449,0.07386526907467714
SF,76.0,1212.971230769231,65.59952284239374,1192.9943846153844,66.52273635665048,17.593124968725384,0.904364896368248,14.081562199767857,0.7702526067602691,31.674687168493243,1.4732486438027634,4.539544995942417,0.6925467694187855,479.15906733809305,14.30298951840945,441.1709272121717,13.891551609782566,-1.8662696951894933,0.07453275846900313
